Region;Levant
Country;Israel
#;3
Spring Name/Station Name;Banias
Literature;Ben-Zur et al. (2025)
Lat;33.248
Lon;35.695
Elev (m);390
Recharge Area (km2);120
Start Date;29.03.1968
End Date;30.09.2024
Resolution;Monthly
Data Source;https://data.gov.il/he/datasets/water_authority/spring_discharge/26d650da-9d47-4dd5-8cbe-2f7d6955110b?query=%D7%91%D7%A0%D7%99%D7%90%D7%A1
Data License;CC BY4.0
Contact For License;Avi Burg
Spring ID;LEV_03_IL
date;discharge (l/sec)
1.08.2004;1326
1.09.2004;923
28.09.2004;884
1.11.2004;753
1.12.2004;1689
2.01.2005;875
1.02.2005;3912
1.03.2005;4343
30.03.2005;4033
1.05.2005;3674
1.06.2005;2877
3.07.2005;1958
1.08.2005;1194
1.09.2005;1002
2.10.2005;949
1.11.2005;788
1.12.2005;730
1.01.2006;1444
1.02.2006;2520
1.03.2006;3359
29.03.2006;3175
1.05.2006;3316
31.05.2006;2146
2.07.2006;1367
17.08.2006;1191
3.09.2006;890
3.10.2006;734
1.11.2006;667
3.12.2006;510
17.12.2006;416
1.01.2007;430
14.01.2007;733
1.02.2007;1137
14.02.2007;2629
1.03.2007;5009
29.03.2007;4624
15.04.2007;4227
1.05.2007;3623
3.06.2007;2535
1.07.2007;2191
1.08.2007;1984
2.09.2007;1221
1.10.2007;709
1.11.2007;583
2.12.2007;809.5
1.01.2008;978
20.01.2008;850
3.02.2008;980
17.02.2008;2363
2.03.2008;2432
16.03.2008;2615
1.04.2008;2445
16.04.2008;1804
1.05.2008;1448
15.05.2008;1386
1.06.2008;954
15.06.2008;876
30.06.2008;841
16.07.2008;773
3.08.2008;703
17.08.2008;659
2.09.2008;560
15.09.2008;432
2.10.2008;435
2.11.2008;386
1.12.2008;323
21.12.2008;394
1.01.2009;838
1.02.2009;619.4
3.03.2009;3158
15.03.2009;4028
26.03.2009;3845
3.05.2009;4262
1.06.2009;2390
1.07.2009;1590
2.08.2009;1290
31.08.2009;1140
1.10.2009;890
1.11.2009;770
15.11.2009;2361.2
1.12.2009;2074
1.01.2010;4150
4.02.2010;4735.4
1.03.2010;4523
28.03.2010;4135
2.05.2010;2310
1.06.2010;1660
1.07.2010;940
1.08.2010;900
2.09.2010;780
3.10.2010;660
1.11.2010;977
1.12.2010;508
2.01.2011;1497.3
1.02.2011;4362
20.02.2011;3666
1.03.2011;4665
31.03.2011;4421
1.05.2011;4183
30.05.2011;2580
3.07.2011;1670
1.08.2011;1180
31.08.2011;1230
2.10.2011;830
31.10.2011;736
1.12.2011;780
18.12.2011;793.6
1.01.2012;985
31.01.2012;4287.8
27.02.2012;4149
1.04.2012;4927
1.05.2012;4756
3.06.2012;3827
1.07.2012;2100.9
5.07.2012;2156
31.07.2012;1677
15.08.2012;1606
2.09.2012;1446
27.09.2012;978
1.11.2012;814
2.12.2012;900
30.12.2012;4562
3.02.2013;4520
28.02.2013;4470
17.03.2013;4388
2.04.2013;4389
30.04.2013;4435
2.06.2013;3284
1.07.2013;2834
31.07.2013;2224
1.09.2013;1395
1.10.2013;927
31.10.2013;735
1.12.2013;365
31.12.2013;610
16.01.2014;450
2.02.2014;449
2.03.2014;451
23.03.2014;1860
1.04.2014;1594
29.04.2014;812.3
15.05.2014;730
19.05.2014;682.8
1.06.2014;612
15.06.2014;467
1.07.2014;407.4
14.07.2014;370.16
31.07.2014;325
14.08.2014;288
25.08.2014;218.1
31.08.2014;203.4
14.09.2014;201
30.09.2014;186
19.10.2014;155.2
2.11.2014;205
16.11.2014;191
27.11.2014;1287
30.11.2014;1265
16.12.2014;1070
1.01.2015;851
29.01.2015;2807
15.02.2015;2575
26.02.2015;3470
15.03.2015;4055
31.03.2015;3132
15.04.2015;3439
29.04.2015;3447
15.05.2015;3160
31.05.2015;2426
16.06.2015;2012
29.06.2015;1203
15.07.2015;1050
30.07.2015;781
16.08.2015;663
31.08.2015;535
24.09.2015;434.7
1.11.2015;335
29.11.2015;240
14.12.2015;201
31.12.2015;233
31.01.2016;1552
18.02.2016;2163
1.03.2016;3077
13.03.2016;2905
31.03.2016;3250
14.04.2016;3214
1.05.2016;1897
15.05.2016;1727
31.05.2016;1510
15.06.2016;1228
30.06.2016;784
14.07.2016;695
31.07.2016;589.3
15.08.2016;483.8
31.08.2016;444.5
14.09.2016;380.24
28.09.2016;321.26
31.10.2016;262.48
14.11.2016;262.04
29.11.2016;212.42
18.12.2016;1975
28.12.2016;1925.1
15.01.2017;2027
31.01.2017;2331.93
28.02.2017;1966.32
14.03.2017;2568.75
29.03.2017;2419.19
18.04.2017;2110.9
30.04.2017;1714.72
15.05.2017;1339.71
29.05.2017;1119.77
13.06.2017;961.45
29.06.2017;824.27
13.07.2017;732.33
30.07.2017;636.39
15.08.2017;481.43
31.08.2017;416.86
13.09.2017;396.31
28.09.2017;337.89
15.10.2017;287.7
31.10.2017;273.15
14.11.2017;256
30.11.2017;232.08
13.12.2017;233.54
31.12.2017;282.85
14.01.2018;785.37
31.01.2018;2593.64
13.02.2018;2667.24
28.02.2018;3305.89
15.03.2018;2617.41
28.03.2018;2067.73
15.04.2018;1539.98
30.04.2018;1274.96
15.05.2018;1121.7
31.05.2018;912.78
14.06.2018;822.06
28.06.2018;735.3
15.07.2018;632.66
31.07.2018;520.84
15.08.2018;478.51
30.08.2018;431.69
17.09.2018;381.07
3.10.2018;305.8
16.10.2018;287.19
31.10.2018;276.92
15.11.2018;237.55
29.11.2018;260.3
16.12.2018;1053.3
31.12.2018;2368.01
15.01.2019;3750.6
31.01.2019;3520.92
13.02.2019;4066.19
27.02.2019;4030.02
17.03.2019;4486.31
31.03.2019;4416.7
30.04.2019;4673.14
30.05.2019;3706.21
30.06.2019;2319.23
31.07.2019;1530.2
29.08.2019;830.41
2.10.2019;850.81
31.10.2019;691.33
28.11.2019;561.92
31.12.2019;2447.49
30.01.2020;3791.55
27.02.2020;4259.25
29.03.2020;4639.54
30.04.2020;3700.31
31.05.2020;2702.11
30.06.2020;1845.67
29.07.2020;1312.72
31.08.2020;1148.46
29.09.2020;778.97
29.10.2020;719.02
30.11.2020;827.8
31.12.2020;1304.56
31.01.2021;3223.86
28.02.2021;3604.15
24.03.2021;3121.25
28.04.2021;2944.59
31.05.2021;1716.93
30.06.2021;1196.44
29.07.2021;951.56
31.08.2021;744.84
30.09.2021;561.71
31.10.2021;508.91
30.11.2021;437.16
30.12.2021;1429.97
31.01.2022;2498.35
27.02.2022;5186.26
30.03.2022;4771.94
28.04.2022;4234
31.05.2022;3009
30.06.2022;2039.73
31.07.2022;1285.24
31.08.2022;881.61
29.09.2022;826.8
31.10.2022;684.36
30.11.2022;701.8
29.12.2022;553
31.01.2023;589.78
28.02.2023;3098.09
2.04.2023;3510.92
30.04.2023;2982.06
31.05.2023;2089.53
29.06.2023;1368.03
31.07.2023;937.81
31.08.2023;704.57
26.09.2023;719.26
30.11.2023;977.84
28.12.2023;2366.36
31.01.2024;4963.9
28.02.2024;4723.45
28.03.2024;4116.85
30.04.2024;2909.44
29.05.2024;1985.78
30.06.2024;1453.62
31.07.2024;1050
29.08.2024;788.42
30.09.2024;620
